protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow,service
tcp,43.134.120.219,799.0,175.103.46.158,45958.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,42048.0,31.13.68.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,49436.0,20.198.119.84,443.0,established,,,OUT.bound,https
udp,175.103.46.158,60119.0,216.239.38.120,443.0,,speedtest.c,,OUT.bound,https
tcp,43.128.74.37,799.0,175.103.46.158,41506.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,65445.0,31.13.68.60,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,52106.0,34.120.208.123,443.0,last-ack,,,OUT.bound,https
tcp,175.103.46.158,54019.0,20.198.119.143,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,58464.0,31.13.68.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,55308.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,49152.0,64.233.170.95,443.0,,speedtest.c,,OUT.bound,https
tcp,18.163.242.58,23016.0,175.103.46.158,44440.0,established,speedtest.c,,IN.bound,
tcp,43.128.74.37,799.0,175.103.46.158,42004.0,established,,,IN.bound,
tcp,175.103.46.158,50407.0,91.108.56.100,443.0,close,,,OUT.bound,https
tcp,175.103.46.158,47756.0,157.240.199.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,43.128.74.37,799.0,175.103.46.158,41494.0,established,speedtest.c,,IN.bound,
udp,175.103.46.158,62174.0,34.111.101.25,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,59277.0,103.107.198.66,6568.0,established,,,OUT.bound,canit-store
tcp,175.103.46.158,52105.0,34.120.208.123,443.0,last-ack,,,OUT.bound,https
tcp,175.103.46.158,48132.0,157.240.199.61,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,63494.0,216.239.38.120,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,39492.0,31.13.77.61,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,64836.0,216.239.38.120,443.0,,speedtest.c,,OUT.bound,https
tcp,43.134.120.219,799.0,175.103.46.158,45878.0,established,speedtest.c,,IN.bound,
tcp,43.128.74.37,799.0,175.103.46.158,42446.0,established,,,IN.bound,
tcp,175.103.46.158,33890.0,31.13.68.1,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,42690.0,157.240.217.2,443.0,established,speedtest.c,,OUT.bound,https
tcp,8.247.49.120,443.0,175.103.46.158,54356.0,established,speedtest.c,,IN.bound,https
tcp,146.196.111.218,899.0,175.103.43.90,53679.0,established,speedtest.c,,OUT.bound,
tcp,175.103.46.158,52108.0,34.120.208.123,443.0,last-ack,,,OUT.bound,https
udp,175.103.46.158,50488.0,216.239.38.120,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,43828.0,31.13.68.175,5222.0,established,speedtest.c,,OUT.bound,xmpp-client
tcp,175.103.46.158,50418.0,103.170.105.253,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,56106.0,192.168.10.1,53.0,,speedtest.c,,local,domain
tcp,175.103.46.158,33794.0,142.250.190.3,80.0,time-wait,,,OUT.bound,http
tcp,43.128.74.37,799.0,175.103.46.158,42112.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,47040.0,66.90.98.108,80.0,established,speedtest.c,,OUT.bound,http
tcp,175.103.46.158,36618.0,74.125.24.100,443.0,established,speedtest.c,,OUT.bound,https
tcp,43.128.74.37,799.0,175.103.46.158,41482.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,63775.0,51.159.103.157,443.0,established,speedtest.c,,OUT.bound,https
tcp,43.128.74.37,799.0,175.103.46.158,41518.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,50414.0,91.108.56.100,80.0,time-wait,speedtest.c,,OUT.bound,http
udp,175.103.46.158,56191.0,34.110.200.237,443.0,,speedtest.c,,OUT.bound,https
tcp,31.13.68.60,443.0,175.103.46.158,63074.0,established,speedtest.c,,IN.bound,https
tcp,175.103.46.158,55536.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,60094.0,54.169.168.69,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,57146.0,210.210.145.9,443.0,established,speedtest.c,,OUT.bound,https
tcp,101.32.248.90,799.0,175.103.46.158,50484.0,established,,,IN.bound,
tcp,31.13.68.61,443.0,175.103.46.158,48478.0,established,speedtest.c,,IN.bound,https
