protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
udp,175.103.46.158,5678,192.168.122.1,53,local,domain,,,speedtest.c,,,,,,
icmp,175.103.43.90,,175.103.46.158,,IN.bound,,,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,,
tcp,43.134.120.219,799,175.103.46.158,47698,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
icmp,175.103.46.158,,175.103.46.157,,local,,,,speedtest.c,,,,,,
tcp,43.128.74.37,799,175.103.46.158,43604,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,101.32.248.90,799,175.103.46.158,50966,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,57936,157.240.211.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
udp,175.103.46.158,49538,74.125.68.91,443,OUT.bound,https,,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
tcp,175.103.46.158,58226,52.184.217.37,443,OUT.bound,https,established,,speedtest.c,US,AS8075 microsoft corporation,,,,Cloud Provider IP range
udp,175.103.46.158,54059,40.81.120.44,3544,OUT.bound,teredo,,,speedtest.c,GB,AS8075 microsoft corporation,,,,Cloud Provider IP range
tcp,103.107.198.66,6568,175.103.46.158,59277,IN.bound,canit-store,established,,,SG,AS137409 gsl networks pty ltd,,,,
tcp,175.103.46.158,42160,43.133.45.194,799,OUT.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,157.240.217.60,443,175.103.46.158,57204,IN.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
udp,175.103.46.158,5678,192.168.124.1,53,local,domain,,,speedtest.c,,,,,,
udp,175.103.46.158,5678,192.168.1.1,53,local,domain,,,speedtest.c,,,,,,
tcp,175.103.46.158,50926,101.32.248.90,799,OUT.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
