session,protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
2023-11-30_14-46-44,udp,175.103.46.158,62473,5.181.178.48,8910,OUT.bound,manyone-http,,,speedtest.c,US,AS35913 dedipath,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,
2023-11-30_14-46-44,tcp,43.134.120.219,799,175.103.46.158,45958,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,42048,31.13.68.61,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-46-44,tcp,175.103.46.158,49436,20.198.119.84,443,OUT.bound,https,established,,speedtest.c,IN,AS8075 microsoft corporation,,,,Cloud Provider IP range
2023-11-30_14-46-44,udp,175.103.46.158,5678,255.255.255.255,5678,broadcast,rrac,,,speedtest.c,,,,,,
2023-11-30_14-46-44,tcp,153.0.155.5,38066,175.103.46.159,8088,IN.bound,,syn-sent,,,CN,AS4837 china unicom china169 backbone,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:42:38.202000,
2023-11-30_14-46-44,tcp,43.128.74.37,799,175.103.46.158,41506,IN.bound,,close-wait,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,65445,31.13.68.60,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-46-44,tcp,175.103.46.158,54019,20.198.119.143,443,OUT.bound,https,established,,speedtest.c,IN,AS8075 microsoft corporation,,,,Cloud Provider IP range
2023-11-30_14-46-44,udp,175.103.46.158,50951,216.239.38.120,443,OUT.bound,https,,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000,Whitelisted IP
2023-11-30_14-46-44,tcp,175.103.46.158,58464,31.13.68.61,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-46-44,tcp,175.103.46.158,35788,172.67.70.70,443,OUT.bound,https,established,,speedtest.c,US,AS13335 cloudflare,,,,CDN IP ranges
2023-11-30_14-46-44,tcp,175.103.46.158,46344,43.133.45.194,799,OUT.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-46-44,udp,175.103.46.158,62473,206.84.112.27,8610,OUT.bound,canon-mfnp,,,speedtest.c,ID,AS64315 pt mitra visioner pratama,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,61967,31.13.95.40,443,OUT.bound,https,established,,speedtest.c,ID,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-46-44,tcp,175.103.46.158,50372,216.239.38.178,443,OUT.bound,https,established,,speedtest.c,US,AS15169 google llc,Obfuscated Files or Information,,2023-11-21T17:12:49.783000,Whitelisted IP
2023-11-30_14-46-44,udp,175.103.46.158,62499,156.59.78.182,443,OUT.bound,https,,,speedtest.c,SG,AS21859 zenlayer inc,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,49237,172.253.118.95,443,OUT.bound,https,last-ack,,speedtest.c,US,AS15169 google llc,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,58298,142.250.190.3,443,OUT.bound,https,time-wait,,speedtest.c,US,AS15169 google llc,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,60023,74.125.130.94,80,OUT.bound,http,established,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_14-46-44,tcp,175.103.46.158,55308,157.240.211.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,41878,31.13.77.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-46-44,tcp,175.103.46.158,57280,157.240.211.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
2023-11-30_14-46-44,tcp,94.102.61.42,38968,175.103.46.156,23023,IN.bound,,syn-sent,,,GB,AS202425 ip volume inc,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:42:38.202000,
2023-11-30_14-46-44,tcp,175.103.46.158,46360,43.133.45.194,799,OUT.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-46-44,tcp,43.128.74.37,799,175.103.46.158,42004,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,52935,74.125.130.94,443,OUT.bound,https,established,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_14-46-44,tcp,175.103.46.158,47756,157.240.199.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
2023-11-30_14-46-44,udp,175.103.46.158,62473,5.181.178.48,8675,OUT.bound,msi-cps-rm,,,speedtest.c,US,AS35913 dedipath,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,
2023-11-30_14-46-44,tcp,43.128.74.37,799,175.103.46.158,41494,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,59277,103.107.198.66,6568,OUT.bound,canit-store,established,,,SG,AS137409 gsl networks pty ltd,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,50927,20.198.119.84,443,OUT.bound,https,established,,speedtest.c,IN,AS8075 microsoft corporation,,,,Cloud Provider IP range
2023-11-30_14-46-44,tcp,175.103.46.158,48132,157.240.199.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,41226,192.53.174.79,4001,OUT.bound,newoak,established,,speedtest.c,SG,AS63949 linode  llc,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,39492,31.13.77.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-46-44,udp,0.0.0.0,5678,255.255.255.255,5678,broadcast,rrac,,,speedtest.c,,,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,49356,142.251.10.95,443,OUT.bound,https,established,,speedtest.c,US,AS15169 google llc,uTorrent seeds from a VM,The world ,2022-12-16T13:03:24.863000,
2023-11-30_14-46-44,udp,175.103.46.158,62473,103.152.36.130,9119,OUT.bound,mxit,,,speedtest.c,ID,AS140433 pt. colo media netindo,,,,
2023-11-30_14-46-44,tcp,43.134.120.219,799,175.103.46.158,45878,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-46-44,tcp,43.128.74.37,799,175.103.46.158,42446,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-46-44,udp,175.103.46.158,62430,34.117.36.110,443,OUT.bound,https,,,speedtest.c,US,AS396982 google,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,50721,91.108.56.100,443,OUT.bound,https,established,,speedtest.c,AG,AS62014 telegram messenger inc,,,,
2023-11-30_14-46-44,tcp,175.103.46.158,56282,157.240.235.60,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
